symptom_text,prognosis
"joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis D
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis D
"joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis D
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes",Hepatitis D
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, yellowing of eyes",Hepatitis D
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain",Hepatitis D
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding",Hepatitis E
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload.1",Alcoholic Hepatitis
"yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload.1",Alcoholic Hepatitis
"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload.1",Alcoholic Hepatitis
"vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload.1",Alcoholic Hepatitis
"vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, fluid overload.1",Alcoholic Hepatitis
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload.1",Alcoholic Hepatitis
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption",Alcoholic Hepatitis
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, fatigue, weight loss, cough, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, fatigue, weight loss, cough, high fever, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, fatigue, cough, high fever, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, fatigue, cough, high fever, headache, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Common Cold
"chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"chills, fatigue, cough, high fever, breathlessness, malaise, phlegm, chest pain, fast heart rate, rusty sputum",Pneumonia
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Dimorphic Hemorrhoids
"constipation, pain in anal region, bloody stool, irritation in anus",Dimorphic Hemorrhoids
"constipation, pain during bowel movements, bloody stool, irritation in anus",Dimorphic Hemorrhoids
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Dimorphic Hemorrhoids
"constipation, pain during bowel movements, pain in anal region, bloody stool",Dimorphic Hemorrhoids
"vomiting, breathlessness, sweating, chest pain",Heart Attack
"vomiting, sweating, chest pain",Heart Attack
"vomiting, breathlessness, chest pain",Heart Attack
"vomiting, breathlessness, sweating",Heart Attack
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Varicose Veins
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Varicose Veins
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Varicose Veins
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Varicose Veins
"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf",Varicose Veins
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf",Varicose Veins
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels",Varicose Veins
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, weight gain, cold hands and feets, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, mood swings, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, mood swings, weight loss, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, mood swings, weight loss, restlessness, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hyperthyroidism
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, fatigue, anxiety, sweating, headache, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking",Osteoarthritis
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Osteoarthritis
"joint pain, knee pain, hip joint pain, swelling joints, painful walking",Osteoarthritis
"joint pain, neck pain, hip joint pain, swelling joints, painful walking",Osteoarthritis
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Osteoarthritis
"joint pain, neck pain, knee pain, hip joint pain, swelling joints",Osteoarthritis
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Arthritis
"stiff neck, swelling joints, movement stiffness, painful walking",Arthritis
"muscle weakness, swelling joints, movement stiffness, painful walking",Arthritis
"muscle weakness, stiff neck, movement stiffness, painful walking",Arthritis
"muscle weakness, stiff neck, swelling joints, movement stiffness",Arthritis
"headache, nausea, spinning movements, loss of balance, unsteadiness",Vertigo (Benign Paroxysmal Positional)
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Vertigo (Benign Paroxysmal Positional)
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Vertigo (Benign Paroxysmal Positional)
"vomiting, headache, nausea, loss of balance, unsteadiness",Vertigo (Benign Paroxysmal Positional)
"vomiting, headache, nausea, spinning movements, unsteadiness",Vertigo (Benign Paroxysmal Positional)
"vomiting, headache, nausea, spinning movements, loss of balance",Vertigo (Benign Paroxysmal Positional)
"skin rash, pus filled pimples, blackheads, scurring",Acne
"pus filled pimples, blackheads, scurring",Acne
"skin rash, blackheads, scurring",Acne
"skin rash, pus filled pimples, blackheads",Acne
"bladder discomfort, foul smell of urine, continuous feel of urine",Urinary Tract Infection
"burning micturition, foul smell of urine, continuous feel of urine",Urinary Tract Infection
"burning micturition, bladder discomfort, continuous feel of urine",Urinary Tract Infection
"burning micturition, bladder discomfort, foul smell of urine",Urinary Tract Infection
"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"skin rash, joint pain, skin peeling, small dents in nails, inflammatory nails",Psoriasis
"skin rash, joint pain, skin peeling, silver like dusting, inflammatory nails",Psoriasis
"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails",Psoriasis
"skin rash, high fever, blister, red sore around nose, yellow crust ooze",Impetigo
"high fever, blister, red sore around nose, yellow crust ooze",Impetigo
"skin rash, blister, red sore around nose, yellow crust ooze",Impetigo
"skin rash, high fever, blister, yellow crust ooze",Impetigo
"skin rash, high fever, blister, red sore around nose",Impetigo
"itching, skin rash, red spots over body, family history, skin peeling, red sore around nose",Fungal Infection
